start_ip,end_ip,start_ip_hex,end_ip_hex,prefix_len,country,province,city,district,isp,division_code,latitude,longitude,geo_level,idc_vendor,cidr
2001:250::,2001:250:1fff:ffff:ffff:ffff:ffff:ffff,20010250000000000000000000000000,200102501fffffffffffffffffffffff,35,中国,新疆,,,教育网,650000,43.793301,87.628579,province,,2001:250::/35
2001:250:2000::,2001:250:3fff:ffff:ffff:ffff:ffff:ffff,20010250200000000000000000000000,200102503fffffffffffffffffffffff,35,中国,西藏,,,教育网,540000,29.648694,91.117449,province,,2001:250:2000::/35
2001:250:4000::,2001:250:7fff:ffff:ffff:ffff:ffff:ffff,20010250400000000000000000000000,200102507fffffffffffffffffffffff,34,中国,湖南,,,教育网,430000,28.116007,112.982951,province,,2001:250:4000::/34
2001:250:8000::,2001:250:ffff:ffff:ffff:ffff:ffff:ffff,20010250800000000000000000000000,20010250ffffffffffffffffffffffff,33,中国,,,,教育网,,,,country,,2001:250:8000::/33
2001:251::,2001:251:ffff:ffff:ffff:ffff:ffff:ffff,20010251000000000000000000000000,20010251ffffffffffffffffffffffff,32,中国,北京,,,教育网,110000,39.904179,116.407387,province,,2001:251::/32
2001:252::,2001:252:ffff:ffff:ffff:ffff:ffff:ffff,20010252000000000000000000000000,20010252ffffffffffffffffffffffff,32,中国,,,,教育网,,,,country,,2001:252::/32
2001:253::,2001:253:ffff:ffff:ffff:ffff:ffff:ffff,20010253000000000000000000000000,20010253ffffffffffffffffffffffff,32,中国,,,,教育网,,,,country,,2001:253::/32
2001:254::,2001:254:ffff:ffff:ffff:ffff:ffff:ffff,20010254000000000000000000000000,20010254ffffffffffffffffffffffff,32,中国,,,,教育网,,,,country,,2001:254::/32
2001:255::,2001:255:ffff:ffff:ffff:ffff:ffff:ffff,20010255000000000000000000000000,20010255ffffffffffffffffffffffff,32,中国,,,,教育网,,,,country,,2001:255::/32
2001:256::,2001:256:ffff:ffff:ffff:ffff:ffff:ffff,20010256000000000000000000000000,20010256ffffffffffffffffffffffff,32,中国,,,,教育网,,,,country,,2001:256::/32
2001:288::,2001:288:1fff:ffff:ffff:ffff:ffff:ffff,20010288000000000000000000000000,200102881fffffffffffffffffffffff,35,中国台湾,台湾,,,台湾,,,,country,,2001:288::/35
2001:288:2000::,2001:288:3fff:ffff:ffff:ffff:ffff:ffff,20010288200000000000000000000000,200102883fffffffffffffffffffffff,35,中国台湾,台湾,,,台湾,,,,country,,2001:288:2000::/35
2001:288:4000::,2001:288:7fff:ffff:ffff:ffff:ffff:ffff,20010288400000000000000000000000,200102887fffffffffffffffffffffff,34,中国台湾,台湾,,,台湾,,,,country,,2001:288:4000::/34
2001:288:8000::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,20010288800000000000000000000000,20010288ffffffffffffffffffffffff,33,中国台湾,台湾,,,台湾,,,,country,,2001:288:8000::/33
2001:2e0::,2001:2e0:1fff:ffff:ffff:ffff:ffff:ffff,200102e0000000000000000000000000,200102e01fffffffffffffffffffffff,35,中国香港,香港,,,香港,,,,country,,2001:2e0::/35
2001:2e0:2000::,2001:2e0:3fff:ffff:ffff:ffff:ffff:ffff,200102e0200000000000000000000000,200102e03fffffffffffffffffffffff,35,中国香港,香港,,,香港,,,,country,,2001:2e0:2000::/35
2001:2e0:4000::,2001:2e0:7fff:ffff:ffff:ffff:ffff:ffff,200102e0400000000000000000000000,200102e07fffffffffffffffffffffff,34,中国香港,香港,,,香港,,,,country,,2001:2e0:4000::/34
